岗位,公司,城市,薪资
高级爬虫工程师,捷荟信息技术（上海）有限公司,上海-闵行区,1.2-2.5万/月
python爬虫工程师,衡哲信息科技（上海）有限公司,上海-普陀区,1-1.8万/月
python 数据库后端工程师,东莞先知大数据有限公司,异地招聘,0.8-1.5万/月
python 数据库后端工程师,东莞先知大数据有限公司,东莞-东城区,0.8-1.5万/月
爬虫工程师,烟台星商电子商务有限公司,烟台,5-9千/月
爬虫开发工程师,湖南星汉数智科技有限公司,长沙-岳麓区,0.8-1万/月
数据分析师（爬虫工程师）,义乌中国小商品城大数据有限公司,异地招聘,1.5-2万/月
JAVA中级程序员,北京可兰德网络技术有限公司,北京-海淀区,6-9千/月
爬虫开发工程师,亿翰智库,上海-静安区,1.2-1.5万/月
爬虫工程师组长,上海清赟医药科技有限公司,上海-长宁区,2-2.5万/月
爬虫开发工程师,北京三六九数动科技有限公司,北京-朝阳区,3-4万/月
高级Python爬虫工程师,深圳市卖家成长网络科技有限公司,深圳-龙华区,1.2-2万/月
项目经理/技术经理/主管（python爬虫）,深圳市英驰贸易科技有限公司,深圳-龙华区,1.6-2.5万/月
高级python爬虫工程师,深圳市英驰贸易科技有限公司,深圳-龙华区,1.5-2万/月
数据爬虫工程师（实习生）,广东赢商网数据服务股份有限公司,广州-天河区,3-4.5千/月
Python工程师（数据采集）(J10189),南京云帐房网络科技有限公司北京分公司,南京-雨花台区,1-1.5万/月
java爬虫开发工程师,广州市华谊通用科技有限公司,广州-天河区,2-2.5万/月
爬虫开发工程师,上海人科数据科技有限公司,上海-长宁区,1.3-1.7万/月
java爬虫工程师（双休+14薪）,成都优格瑞得科技有限公司,深圳-南山区,4-8千/月
Python爬虫,广州迪奥信息科技有限公司,广州-天河区,2-4千/月
高级爬虫工程师,名创优品（广州）有限责任公司,异地招聘,1.5-2万/月
机器人程序开发工程师,上海外服（集团）有限公司,南京-雨花台区,0.9-1.5万/月
